S. No.,news_title,news_details,date,source_name,Event,Political Bias,Social Bias,Keywords,Comments
172,200 करोड़ की ठगी मामले के मास्टरमाइंड सुकेश चन्द्रशेखर ने जेल के अंदर खुद की जान को बताया खतरा,उसने पत्र के माध्यम से बताया है कि जेल में उसकी भी अंकित गुर्जर की तरह हत्या करवाई जा सकती है.,"गुरुवार दिसम्बर 16, 2021 03:07 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
39,4 दिन में 38 घंटे राहुल गांधी से पूछताछ कर भी संतुष्ट नहीं ED; क्या है अगला आदेश?,मनी लॉन्ड्रिंग मामले में सोमवार को चौथी बार ईडी के सामने पेश हुए राहुल गांधी को मंगलवार को फिर से अपना बयान दर्ज कराने के लिए बुलाया गया है.,"Jun 20,2022, 22:52 PM IST",ZEE News,Money Laundering,Anti Congress,Neutral,राहुल गांधी से पूछताछ कर भी संतुष्ट नहीं ED,
228,"Aircel-Maxis Case: जांच में सहयोग नहीं कर रहे चिदंबरम, ईडी ने हिरासत में लेकर पूछताछ की मांग की",एयरसेल-मैक्सिस (Aircel-Maxis Case) मामले में पूर्व वित्त मंत्री पी चिंदबरम (P Chidambaram) की मुसिबतें कम होने का नाम नहीं ले रही. दिल्ली की एक अदालत में पूर्व केंद्रीय मंत्री और कांग्रेस नेता पी चिदंबरम द्वारा दायर अग्रिम जमानत याचिका का प्रवर्तन निदेशालय (ईडी) ने विरोध किया और उनसे हिरासत में लेकर पूछताछ करने की मांग की. चिदंबरम द्वारा दायर अग्रिम जमानत याचिका पर अपने जवाब में प्रवर्तन निदेशालय ने कहा कि उनका रवैया टालमटोल वाला रहा है और वह जांच में सहयोग नहीं कर रहे थे. चिदंबरम की याचिका पर विशेष न्यायाधीश ओपी सैनी की अदालत में गुरुवार को सुनवाई होगी.,"बुधवार अक्टूबर 31, 2018 05:11 PM IST",NDTV News,Money Laundering,Anti Congress,Neutral,"(ईडी) ने विरोध किया,वह जांच में सहयोग नहीं कर रहे थे",
238,"Aircel-Maxis Case: जांच में सहयोग नहीं कर रहे चिदंबरम, ईडी ने हिरासत में लेकर पूछताछ की मांग की",एयरसेल-मैक्सिस (Aircel-Maxis Case) मामले में पूर्व वित्त मंत्री पी चिंदबरम (P Chidambaram) की मुसिबतें कम होने का नाम नहीं ले रही. दिल्ली की एक अदालत में पूर्व केंद्रीय मंत्री और कांग्रेस नेता पी चिदंबरम द्वारा दायर अग्रिम जमानत याचिका का प्रवर्तन निदेशालय (ईडी) ने विरोध किया और उनसे हिरासत में लेकर पूछताछ करने की मांग की. चिदंबरम द्वारा दायर अग्रिम जमानत याचिका पर अपने जवाब में प्रवर्तन निदेशालय ने कहा कि उनका रवैया टालमटोल वाला रहा है और वह जांच में सहयोग नहीं कर रहे थे. चिदंबरम की याचिका पर विशेष न्यायाधीश ओपी सैनी की अदालत में गुरुवार को सुनवाई होगी.,"बुधवार अक्टूबर 31, 2018 05:11 PM IST",NDTV News,Money Laundering,,,,Repeated
268,"Aircel-Maxis Case: जांच में सहयोग नहीं कर रहे चिदंबरम, ईडी ने हिरासत में लेकर पूछताछ की मांग की",एयरसेल-मैक्सिस (Aircel-Maxis Case) मामले में पूर्व वित्त मंत्री पी चिंदबरम (P Chidambaram) की मुसिबतें कम होने का नाम नहीं ले रही. दिल्ली की एक अदालत में पूर्व केंद्रीय मंत्री और कांग्रेस नेता पी चिदंबरम द्वारा दायर अग्रिम जमानत याचिका का प्रवर्तन निदेशालय (ईडी) ने विरोध किया और उनसे हिरासत में लेकर पूछताछ करने की मांग की. चिदंबरम द्वारा दायर अग्रिम जमानत याचिका पर अपने जवाब में प्रवर्तन निदेशालय ने कहा कि उनका रवैया टालमटोल वाला रहा है और वह जांच में सहयोग नहीं कर रहे थे. चिदंबरम की याचिका पर विशेष न्यायाधीश ओपी सैनी की अदालत में गुरुवार को सुनवाई होगी.,"बुधवार अक्टूबर 31, 2018 05:11 PM IST",NDTV News,Money Laundering,,,,Repeated
65,"Binance ने WazirX पर 'ऑफ-चेन' फंड ट्रांसफर बंद किया, जानें क्यों आपस में भिड़े हुए हैं दो बड़े क्रिप्टो एक्सचेंज","बाइनेंस के मुख्य संचार अधिकारी पैट्रिक हिलमैन ने कहा, ‘‘चीजों में स्पष्टता और प्रयोगकर्ताओं के संरक्षण के लिए हम वजीरएक्स और बाइनेंस के बीच ‘ऑफ-चेन’ कोष स्थानांतरण को हटा रहे हैं.","मंगलवार अगस्त 9, 2022 01:25 PM IST",NDTV News,Money Laundering,,,,Not related to money laundering
105,CM हेमंत सोरेन को खनन पट्टा आवंटन में पूजा सिंघल की थी भूमिका: ईडी ने हाईकोर्ट को बताया,सुप्रीम कोर्ट झारखंड के मुख्यमंत्री हेमंत सोरेन और उनके परिवार के सदस्यों तथा सहयोगियों द्वारा चलायी जा रही कुछ छद्म कंपनियों को खनन पट्टों की कथित मंजूरी की सीबीआई तथा प्रवर्तन निदेशालय की जांच से जुड़ी एक याचिका पर शुक्रवार को सुनवाई करने के लिए राजी हो गया है.,"शुक्रवार मई 20, 2022 08:14 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
115,CM हेमंत सोरेन को खनन पट्टा आवंटन में पूजा सिंघल की थी भूमिका: ईडी ने हाईकोर्ट को बताया,सुप्रीम कोर्ट झारखंड के मुख्यमंत्री हेमंत सोरेन और उनके परिवार के सदस्यों तथा सहयोगियों द्वारा चलायी जा रही कुछ छद्म कंपनियों को खनन पट्टों की कथित मंजूरी की सीबीआई तथा प्रवर्तन निदेशालय की जांच से जुड़ी एक याचिका पर शुक्रवार को सुनवाई करने के लिए राजी हो गया है.,"शुक्रवार मई 20, 2022 08:14 AM IST",NDTV News,Money Laundering,,,,Repeated
135,CM हेमंत सोरेन को खनन पट्टा आवंटन में पूजा सिंघल की थी भूमिका: ईडी ने हाईकोर्ट को बताया,सुप्रीम कोर्ट झारखंड के मुख्यमंत्री हेमंत सोरेन और उनके परिवार के सदस्यों तथा सहयोगियों द्वारा चलायी जा रही कुछ छद्म कंपनियों को खनन पट्टों की कथित मंजूरी की सीबीआई तथा प्रवर्तन निदेशालय की जांच से जुड़ी एक याचिका पर शुक्रवार को सुनवाई करने के लिए राजी हो गया है.,"शुक्रवार मई 20, 2022 08:14 AM IST",NDTV News,Money Laundering,,,,Repeated
14,"ED Raid in Kolkata: ଦିଦିଙ୍କ ଗଡରେ ଇଡି ଆକ୍ସନ, ଜବତ ହେଲା ଟଙ୍କାର ପାହାଡ଼!",ED Raid in Kolkata: ଲଗାତାର କିଛି ଦିନ ହେବ ଦେଶର ଅନେକ ରାଜ୍ୟରେ ଇଡି ରେଡ୍ କରୁଥିବା ଦେଖିବାକୁ ମିଳୁଛି । ଏହି କର୍ମରେ ମୋବାଇଲ୍ ଆପ୍ଲିକେସନ ଠକେଇ ମାମଲାକୁ ଏନଫୋର୍ସମେଣ୍ଟ ଡାଇରେକ୍ଟୋରେଟ (ଇଡି) କୋଲକାତାର ଜଣେ ବ୍ୟବସାୟୀଙ୍କ ଘର ଚଢ଼ାଉ କରିଛି ।,"Sep 10,2022, 16:45 PM IST",ZEE News,Money Laundering,,,,Not in Hindi
183,"ED की रिमांड में रहेंगे मंत्री नवाब मलिक, महाराष्ट्र सरकार बोली- 'इस्तीफे का सवाल ही नहीं क्योंकि...'","महाराष्ट्र सरकार में मंत्री और एनसीपी के वरिष्ठ नेता नवाब मलिक (Nawab Malik) को प्रवर्तन निदेशालय (ED) ने बुधवार को गिरफ्तार किया. मंत्री नवाब मलिक को आठ दिन तक प्रवर्तन निदेशालय की रिमांड पर भेजा गया हैं. वे 3 मार्च तक ईडी की हिरासत में रहेंगे. मुंबई अंडरवर्ल्ड, भगोड़े गैंगस्टर दाऊद इब्राहिम (Dawood Ibrahim) और उसके गुर्गों की गतिविधियों से जुड़े मनी लॉन्ड्रिंग मामले में ईडी ने पूछताछ के बाद मलिक को गिरफ्तार किया था.","बुधवार फ़रवरी 23, 2022 11:08 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
73,"ED के सामने आज पेश नहीं होंगी सत्येंद्र जैन की पत्नी, खराब स्वास्थ्य का दिया हवाला : सूत्र","ED ने कोलकाता की एक कंपनी से जुड़े कथित हवाला लेनदेन के सिलसिले में दिल्ली सरकार में मंत्री सत्येंद्र जैन को 30 म‌ई को गिरफ्तार किया था. इसी मामले में ED ने सत्येंद्र की पत्नी पूनम जैन को भी 14 जुलाई के लिए तलब किया था, लेकिन खराब स्वास्थ्य का हवाला देकर पूनम जैन पूछताछ के लिए ED दफ़्तर नहीं पहुंच रहीं.","गुरुवार जुलाई 14, 2022 11:32 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
83,"ED के सामने आज पेश नहीं होंगी सत्येंद्र जैन की पत्नी, खराब स्वास्थ्य का दिया हवाला : सूत्र","ED ने कोलकाता की एक कंपनी से जुड़े कथित हवाला लेनदेन के सिलसिले में दिल्ली सरकार में मंत्री सत्येंद्र जैन को 30 म‌ई को गिरफ्तार किया था. इसी मामले में ED ने सत्येंद्र की पत्नी पूनम जैन को भी 14 जुलाई के लिए तलब किया था, लेकिन खराब स्वास्थ्य का हवाला देकर पूनम जैन पूछताछ के लिए ED दफ़्तर नहीं पहुंच रहीं.","गुरुवार जुलाई 14, 2022 11:32 AM IST",NDTV News,Money Laundering,,,,Repeated
123,"ED के सामने आज पेश नहीं होंगी सत्येंद्र जैन की पत्नी, खराब स्वास्थ्य का दिया हवाला : सूत्र","ED ने कोलकाता की एक कंपनी से जुड़े कथित हवाला लेनदेन के सिलसिले में दिल्ली सरकार में मंत्री सत्येंद्र जैन को 30 म‌ई को गिरफ्तार किया था. इसी मामले में ED ने सत्येंद्र की पत्नी पूनम जैन को भी 14 जुलाई के लिए तलब किया था, लेकिन खराब स्वास्थ्य का हवाला देकर पूनम जैन पूछताछ के लिए ED दफ़्तर नहीं पहुंच रहीं.","गुरुवार जुलाई 14, 2022 11:32 AM IST",NDTV News,Money Laundering,,,,Repeated
41,"ED दफ्तर पहुंचे राहुल गांधी, चौथी बार ED के सामने राहुल की पेशी","कांग्रेस नेता राहुल गांधी (Rahul Gandhi) आज चौथे दौर की पूछताछ के लिए एक बार फिर प्रवर्तन निदेशालय (ED) के सामने पेश हुए हैं. राहुल गांधी कांग्रेस दफ्तर से सीधा ईडी ऑफिस पहुंचे. आज भी उनके साथ बहन प्रियंका गांधी भी ईडी ऑफिस तक पहुंचीं हैं. इससे पहले राहुल गांधी लगातार तीन दिन तक ED के सामने पेश होकर अपना बयान दर्ज करा चुके हैं. इस दौरान कांग्रेस पार्टी के कई बड़े नेताओं और कार्यकर्ताओं ने दिल्ली (Delhi) में विरोध प्रदर्शन किया था. तो वहीं, पार्टी नेता और कार्यकर्ता ईडी दफ्तर तक मार्च नहीं करेंगे बल्कि जंतर-मंतर पर सत्याग्रह करेंगे.","Jun 20,2022, 13:54 PM IST",ZEE News,Money Laundering,Pro Congress,Neutral,"एक बार फिर,विरोध प्रदर्शन किया था",See news 
145,ED ने इस्लामिक संगठन PFI और रिहैब इंडिया फाउंडेशन के 33 बैंक खातों को किया फ्रीज,"अधिकारियों ने बताया कि पॉपुलर फ्रंट ऑफ इंडिया (PFI) के 59 लाख 12 हजार 51 रुपये के 23 खाते और रिहैब इंडिया फाउंडेशन के 10 खाते जिसमें 9 लाख 50 हजार 30 रुपये जमा हैं, उन्हें फ्रीज किया गया है.","बुधवार जून 1, 2022 07:26 PM IST",NDTV News,Money Laundering,Neutral,Anti Muslim,ED ने इस्लामिक संगठन PFI को किया फ्रीज,
177,ED ने कथित मनी लॉन्डरिंग केस में IREO ग्रुप चेयरमैन ललित गोयल को गिरफ्तार किया,"साल 2010 में ललित गोयल ने 73 मिलियन अमेरिकी डॉलर अलग-अलग ट्रस्ट में स्थानांतरित किए थे, जिसकी ED जांच कर रही थी. ये पैसा निवेशकों का था.","मंगलवार नवम्बर 16, 2021 03:04 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
59,ED ने चीन की लोन ऐप कंपनियों के खिलाफ मनी लॉन्ड्रिंग मामले में की छापेमारी,प्रवर्तन निदेशालय (Enforcement Directorate) ने कुछ भुगतान सेवा मंच (गेटवे) और अन्य कंपनियों के खिलाफ धन शोधन मामले में नए सिरे से छापेमारी की है.,"बुधवार सितम्बर 14, 2022 11:10 PM IST",NDTV News,Money Laundering,,,,Related to China Loan app 
109,"ED ने माफिया सरगना मुख्‍तार अंसारी के भाई अफजाल से 10 घंटे की पूछताछ, कई सवालों का नहीं दे पाए जवाब","ईडी ने मुख्तार के खिलाफ जुलाई 2021 में मनी लांड्रिंग का केस दर्ज किया था. छानबीन के दौरान केंद्रीय जांच एजेंसी को पता चला है कि कुछ शख्स ऐसे हैं, जिनके जरिए मुख्तार, उसके बेटों और भाई अफजाल को पैसा पहुंचता है.","मंगलवार मई 10, 2022 06:48 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,See the exact news
119,"ED ने माफिया सरगना मुख्‍तार अंसारी के भाई अफजाल से 10 घंटे की पूछताछ, कई सवालों का नहीं दे पाए जवाब","ईडी ने मुख्तार के खिलाफ जुलाई 2021 में मनी लांड्रिंग का केस दर्ज किया था. छानबीन के दौरान केंद्रीय जांच एजेंसी को पता चला है कि कुछ शख्स ऐसे हैं, जिनके जरिए मुख्तार, उसके बेटों और भाई अफजाल को पैसा पहुंचता है.","मंगलवार मई 10, 2022 06:48 PM IST",NDTV News,Money Laundering,,,,Repeated
139,"ED ने माफिया सरगना मुख्‍तार अंसारी के भाई अफजाल से 10 घंटे की पूछताछ, कई सवालों का नहीं दे पाए जवाब","ईडी ने मुख्तार के खिलाफ जुलाई 2021 में मनी लांड्रिंग का केस दर्ज किया था. छानबीन के दौरान केंद्रीय जांच एजेंसी को पता चला है कि कुछ शख्स ऐसे हैं, जिनके जरिए मुख्तार, उसके बेटों और भाई अफजाल को पैसा पहुंचता है.","मंगलवार मई 10, 2022 06:48 PM IST",NDTV News,Money Laundering,,,,Repeated
76,"ED ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया तलब, 3 दिन पहले हुए हैं रिटायर",मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को 5 जुलाई को तलब किया है. मनी लांड्रिंग केस में जांच एजेंसी ने उन्हें समन भेजा है.,"सोमवार जुलाई 4, 2022 12:23 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
86,"ED ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया तलब, 3 दिन पहले हुए हैं रिटायर",मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को 5 जुलाई को तलब किया है. मनी लांड्रिंग केस में जांच एजेंसी ने उन्हें समन भेजा है.,"सोमवार जुलाई 4, 2022 12:23 AM IST",NDTV News,Money Laundering,,,,Repeated
126,"ED ने मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को किया तलब, 3 दिन पहले हुए हैं रिटायर",मुंबई के पूर्व पुलिस कमिश्नर संजय पांडे को 5 जुलाई को तलब किया है. मनी लांड्रिंग केस में जांच एजेंसी ने उन्हें समन भेजा है.,"सोमवार जुलाई 4, 2022 12:23 AM IST",NDTV News,Money Laundering,,,,Repeated
33,"ED ने सोनिया गांधी से 2 घंटे की पूछताछ, कांग्रेस अध्यक्ष को इस वजह से दी गई राहत",Sonia Gandhi summoned by ED: कांग्रेस अध्यक्ष सोनिया गांधी (Sonia Gandhi) से दो घंटे तक पूछताछ चली और गांधी के अनुरोध पर पूछताछ सत्र समाप्त कर दिया गया क्योंकि वह कोविड-19 से उबर रही हैं.,"Jul 21,2022, 16:29 PM IST",ZEE News,Money Laundering,Neutral,Neutral,,
144,"EXPLAINER: क्या है नेशनल हेराल्ड केस, जिसमें सोनिया-राहुल गांधी से ईडी कर चुकी है पूछताछ?",नेशनल हेराल्ड केस से जुड़े मनी लांड्रिंग मामले (National Herald money laundering case) में प्रवर्तन निदेशालय (ED) ने नेशनल हेराल्ड अखबार के दफ्तर समेत 10 ठिकानों पर छापेमारी की है. ईडी इस मामले में कांग्रेस अध्यक्ष सोनिया गांधी और कांग्रेस सांसद राहुल गांधी (Rahul Gandhi) से पूछताछ कर चुकी है.,"मंगलवार अगस्त 2, 2022 12:53 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
216,INX Media Case Live Updates: 19 सितंबर तक तिहाड़ जेल में रहेंगे पी चिदंबरम,INX Media Case Live Updates: आईएनएक्स मीडिया (INX Media Case) मनी लॉन्ड्रिंग मामले में पूर्व वित्त मंत्री पी चिदंबरम (P Chidambaram) को सीबीआई कोर्ट ने आईएनएक्स मीडिया मनी लॉन्ड्रिंग मामले में 19 सितंबर तक के लिए तिहाड़ जेल भेज दिया.,"गुरुवार सितम्बर 5, 2019 06:59 PM IST",NDTV News,Money Laundering,Anti Congress,Neutral,,
215,INX Media Case: 19 सितंबर तक तिहाड़ जेल में रहेंगे पी चिदंबरम,INX Media Case: आईएनएक्स मीडिया (INX Media Case) मनी लॉन्ड्रिंग मामले में पूर्व वित्त मंत्री पी चिदंबरम (P Chidambaram) को सीबीआई कोर्ट ने आईएनएक्स मीडिया मनी लॉन्ड्रिंग मामले में 19 सितंबर तक के लिए तिहाड़ जेल भेज दिया.,"गुरुवार सितम्बर 5, 2019 11:46 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
217,INX Media Case: जेल भेजे जाने के फैसले के बाद पूर्व वित्त मंत्री पी चिदंबरम बोले- 'मेरी सबसे बड़ी चिंता...',"पी चिदंबरम (P Chidambaram) को सीबीआई कोर्ट ने मनी लॉन्ड्रिंग मामले में 19 सितंबर तक के लिए तिहाड़ जेल भेज दिया. पी. चिदंबरम को जेल में अलग सेल, खाट और अलग बाथरूम की मांगें भी सीबीआई कोर्ट ने मंज़ूर कर ली. पूर्व वित्त मंत्री चिदंबरम तिहाड़ के जेल नंबर 7 में रहेंगे.","गुरुवार सितम्बर 5, 2019 08:29 PM IST",NDTV News,Money Laundering,Pro Congress,Neutral,,
272,INX मनी लॉन्ड्रिंग मामला : कार्ति चिदंबरम को पूछताछ के लिए एक दिन की CBI हिरासत में भेजा गया,"आईएनएक्स मीडिया मामले में सीबीआई द्वारा गिरफ्तार किए गए पूर्व वित्त मंत्री के बेटे कार्ति चिदंबरम को दिल्ली की एक अदालत में पेश किया गया. अदालत ने कार्ति को पूछताछ के लिए एक दिन की सीबीआई हिरासत में भेजा है. सीबीआई ने कार्ति से पूछताछ के लिए 15 दिन की रिमांड मांगी थी, लेकिन ड्यूटी मजिस्ट्रेट सुमित आनंद ने एक दिन हिरासत की मंजूरी देते हुए स्पष्ट किया कि गुरुवार दोपहर 2.30 बजे उसे संबंधित विशेष न्यायाधीश के समक्ष पेश किया जाएगा.","बुधवार फ़रवरी 28, 2018 10:14 PM IST",NDTV News,Money Laundering,Neutral,Neutral,,
271,"INX मीडिया मनी लॉन्ड्रिंग : कार्ति चिदंबरम की कुछ ही देर में कोर्ट में पेशी, मिलेगी बेल या जाएंगे जेल?",पूर्व वित्त मंत्री पी चिदंबरम के बेटे कार्ति चिदंबरम एक दिन की सीबीआई हिरासत में हैं. आज उन्हें फिर कोर्ट में पेश किया जाएगा. INX मीडिया मनी लॉन्ड्रिंग के मामले में सीबीआई ने बुधवार को कार्ति चिदंबरम को चेन्नई एयरपोर्ट से गिरफ़्तार किया था.,"गुरुवार मार्च 1, 2018 11:43 AM IST",NDTV News,Money Laundering,Neutral,Neutral,,
30,"Jharkhand: सोरेन के करीबी पंकज मिश्रा की मुश्किलें बढ़ी,अब इस मामले में FIR दर्ज",जांच में यह पाया गया है कि इस पोत का संचालन अवैध तरीके से किया जा रहा था और इसके जरिए अवैध रूप से निकाले गये पत्थरों का परिवहन किया जा रहा था.,"Jul 27,2022, 21:18 PM IST",ZEE News,Money Laundering,Neutral,Neutral,,
93,"Live Updates: राहुल गांधी से आज तीसरे दिन ED की पूछताछ, कांग्रेस नेता का आरोप- ""पुलिस पार्टी दफ्तर में घुसी, ये तानाशाही है""","कांग्रेस नेता अधीर रंजन चौधरी ने आरोप लगाया है कि पुलिस हमारे कांग्रेस दफ्तर में घुसी ,ये तानाशाही है. इससे पूर्व राहुल गांधी ईडी के दफ्तर में लगातार तीसरे दिन पूछताछ के लिए पहुंचे थे.","बुधवार जून 15, 2022 07:23 PM IST",NDTV News,Money Laundering,Pro Congress,Neutral,कांग्रेस नेता अधीर रंजन चौधरी ने आरोप लगाया है कि पुलिस हमारे कांग्रेस दफ्तर में घुसी,
29,"LNJP की रिपोर्ट पर न करें विश्वास', सत्येंद्र जैन मामले में दिल्ली HC ने उठाए सवाल",Satyendra Jain Case: दिल्ली हाई कोर्ट ने निचली अदालत को निर्देश दिया है कि वो सत्येंद्र जैन को लेकर एलएनजेपी अस्पताल की मेडिकल रिपोर्ट पर विचार न करे.,"Jul 28,2022, 18:47 PM IST",ZEE News,Money Laundering,Anti AAP,Neutral,सत्येंद्र जैन मामले में दिल्ली HC ने उठाए सवाल,
